From	Entry	Protein names	Gene Names	Length	EC number	Interacts with	Pathway	Gene Ontology IDs	Subcellular location [CC]	PubMed ID	Protein families	Domain [FT]	Topological domain
b0040	P31553	L-carnitine/gamma-butyrobetaine antiporter	caiT yaaP b0040 JW0039	504			PATHWAY: Amine and polyamine metabolism; carnitine metabolism. {ECO:0000255|HAMAP-Rule:MF_01049, ECO:0000305|PubMed:12163501, ECO:0000305|PubMed:7815937}.	GO:0005886; GO:0009437; GO:0015226; GO:0015879; GO:0022857; GO:0044667; GO:1900751	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01049, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:20357772, ECO:0000269|PubMed:20829798}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01049, ECO:0000269|PubMed:20357772, ECO:0000269|PubMed:20829798}.	7815937; 1630901; 9278503; 16738553; 12163501; 12664169; 15919996; 16365043; 22843728; 30846799; 20829798; 20357772	BCCT transporter (TC 2.A.15) family, CaiT subfamily		TOPO_DOM 1..12; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:20357772, ECO:0007744|PDB:3HFX"; TOPO_DOM 31..51; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:20357772, ECO:0007744|PDB:3HFX"; TOPO_DOM 68..90; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:20357772, ECO:0007744|PDB:3HFX"; TOPO_DOM 99..131; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:20357772, ECO:0007744|PDB:3HFX"; TOPO_DOM 152..186; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:20357772, ECO:0007744|PDB:3HFX"; TOPO_DOM 220..230; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:20357772, ECO:0007744|PDB:3HFX"; TOPO_DOM 249..253; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:20357772, ECO:0007744|PDB:3HFX"; TOPO_DOM 278..311; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:20357772, ECO:0007744|PDB:3HFX"; TOPO_DOM 336..349; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:20357772, ECO:0007744|PDB:3HFX"; TOPO_DOM 373..403; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:20357772, ECO:0007744|PDB:3HFX"; TOPO_DOM 432..446; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:20357772, ECO:0007744|PDB:3HFX"; TOPO_DOM 467..468; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:20357772, ECO:0007744|PDB:3HFX"; TOPO_DOM 491..504; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:20357772, ECO:0007744|PDB:3HFX"
b3908	P00448	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	sodA b3908 JW3879	206	1.15.1.1			GO:0003677; GO:0004784; GO:0005737; GO:0005829; GO:0006801; GO:0006979; GO:0009408; GO:0010447; GO:0016209; GO:0019430; GO:0030145; GO:0042803; GO:0046872; GO:0071291		3520487; 8346018; 9278503; 16738553; 363708; 1339463; 1551902; 3131302; 4590170; 9298646; 9298644; 11141052; 11294629; 9003797; 10686094	Iron/manganese superoxide dismutase family		
b3907	P27125	L-rhamnose-proton symporter (L-rhamnose-H(+) transport protein)	rhaT b3907 JW3878	344				GO:0005886; GO:0015153; GO:0015293; GO:0015762	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01532, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:2283027, ECO:0000269|PubMed:8262918}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01532, ECO:0000269|PubMed:8262918}.	1551902; 1339463; 8346018; 9278503; 16738553; 2283027; 1650346; 8384447; 8262918; 8757746; 15919996	L-rhamnose transporter (TC 2.A.7.6) family		TOPO_DOM 1..3; /note="Periplasmic"; /evidence="ECO:0000305"; TOPO_DOM 25..37; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:8262918"; TOPO_DOM 59..73; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:8262918"; TOPO_DOM 95..100; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:8262918"; TOPO_DOM 122..136; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:8262918"; TOPO_DOM 158..174; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:8262918"; TOPO_DOM 196..213; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:8262918"; TOPO_DOM 235..258; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:8262918"; TOPO_DOM 280..289; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:8262918"; TOPO_DOM 311..322; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:8262918"; TOPO_DOM 344; /note="Periplasmic"; /evidence="ECO:0000269|PubMed:15919996"
b1805	P69451	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) (Long-chain acyl-CoA synthetase) (Acyl-CoA synthetase)	fadD oldD b1805 JW1794	561	6.2.1.3		PATHWAY: Lipid metabolism; fatty acid beta-oxidation. {ECO:0000269|PubMed:12535077, ECO:0000305|PubMed:15213221}.	GO:0004467; GO:0005504; GO:0005524; GO:0005737; GO:0005829; GO:0006629; GO:0006631; GO:0006635; GO:0006637; GO:0008654; GO:0009411; GO:0009898; GO:0015908; GO:0042803; GO:0070538; GO:0102391	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Partially membrane-associated. {ECO:0000250}.	8107670; 1460045; 9097040; 9278503; 16738553; 12034706; 12535077; 15213221	ATP-dependent AMP-binding enzyme family		
b0972	P69739	Hydrogenase-1 small chain (HYD1) (EC 1.12.99.6) (Membrane-bound hydrogenase 1 small subunit) (NiFe hydrogenase)	hyaA b0972 JW0954	372	1.12.99.6	P0ACD8		GO:0006113; GO:0008901; GO:0009055; GO:0009061; GO:0009267; GO:0009375; GO:0016020; GO:0019645; GO:0033748; GO:0044569; GO:0046872; GO:0051538; GO:0051539; GO:0098567; GO:1902421	SUBCELLULAR LOCATION: Cell inner membrane; Single-pass type I membrane protein; Periplasmic side.	2180913; 9278503; 16738553; 8905232; 15919996; 17218314	[NiFe]/[NiFeSe] hydrogenase small subunit family		TOPO_DOM 46..325; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 349..372; /note="Cytoplasmic"; /evidence="ECO:0000255"
b0602	P77216	Uncharacterized protein YbdN	ybdN b0602 JW0595	406				GO:0003824; GO:0071453		8905232; 9278503; 16738553			
b2741	P13445	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	rpoS appR katF nur otsX sigS b2741 JW5437	330		P0A8V2		GO:0000345; GO:0001000; GO:0003677; GO:0005737; GO:0006352; GO:0016987; GO:0045892; GO:1903865; GO:2000142	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00959}.	2690013; 8475100; 1437569; 9278503; 16738553; 8208244; 8132457; 8637901; 10339606; 10672187; 15558318; 15716429; 16511888; 19251848; 21639793; 21516113; 21398637	Sigma-70 factor family, RpoS subfamily		
b3846	P21177	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB oldB b3846 JW3822	729	1.1.1.35; 4.2.1.17; 5.1.2.3; 5.3.3.8		PATHWAY: Lipid metabolism; fatty acid beta-oxidation. {ECO:0000255|HAMAP-Rule:MF_01621}.	GO:0003857; GO:0004165; GO:0004300; GO:0006635; GO:0008692; GO:0016509; GO:0036125; GO:0070403		1699931; 2191949; 2204034; 1712230; 1379743; 9278503; 16738553; 368024; 1748662; 8454629; 8755745; 9298644; 12535077	Enoyl-CoA hydratase/isomerase family; 3-hydroxyacyl-CoA dehydrogenase family		
b1276	P25516	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)	acnA acn b1276 JW1268	891	4.2.1.3		PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; isocitrate from oxaloacetate: step 2/2. {ECO:0000305}.	GO:0003729; GO:0003730; GO:0003994; GO:0005506; GO:0005737; GO:0005829; GO:0006097; GO:0006099; GO:0006101; GO:0006979; GO:0009061; GO:0030350; GO:0046872; GO:0047780; GO:0051539		1541275; 9097039; 9278503; 16738553; 1838390; 8000525; 7588761; 9202458; 9421904; 10585860; 10589714; 11932448; 11917098; 12486059; 15672380; 17015655	Aconitase/IPM isomerase family		
b1528	P31122	Sugar efflux transporter	sotB ydeA b1528 JW1521	396				GO:0005886; GO:0015144; GO:0022857; GO:0055085	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	9097039; 9278503; 16738553; 8383113; 10094697; 10438792; 15919996	Major facilitator superfamily, SotB (TC 2.A.1.2) family		TOPO_DOM 1..14; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 36..49; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 71..80; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 102; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 124..135; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 157..169; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 191..208; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 230..245; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 267..274; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 296..298; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 320..332; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 354..363; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 385..396; /note="Cytoplasmic"; /evidence="ECO:0000255"
b0221	Q47146	Acyl-coenzyme A dehydrogenase (ACDH) (Acyl-CoA dehydrogenase) (EC 1.3.8.7) (EC 1.3.8.8)	fadE yafH b0221 JW5020	814	1.3.8.7; 1.3.8.8		PATHWAY: Lipid metabolism; fatty acid beta-oxidation. {ECO:0000269|PubMed:12057976}.	GO:0003995; GO:0004466; GO:0005737; GO:0009062; GO:0033539; GO:0050660; GO:0070991		9278503; 16738553; 7596361; 12057976	Acyl-CoA dehydrogenase family		
b2277	P0AFE8	NADH-quinone oxidoreductase subunit M (EC 7.1.1.-) (NADH dehydrogenase I subunit M) (NDH-1 subunit M) (NUO13)	nuoM b2277 JW2272	509	7.1.1.-			GO:0005886; GO:0008137; GO:0009060; GO:0015990; GO:0016020; GO:0022904; GO:0030964; GO:0042773; GO:0045271; GO:0045272; GO:0048039	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	7690854; 8366049; 9205837; 9278503; 16738553; 15919996	Complex I subunit 4 family		TOPO_DOM 22..29; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 51..82; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 104..121; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 143..173; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 195..221; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 243..258; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 280..285; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 307..313; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 335..339; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 361..382; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 425; /note="Periplasmic"; /evidence="ECO:0000255"; TOPO_DOM 447..464; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 486..509; /note="Periplasmic"; /evidence="ECO:0000255"
b2288	P0AFC3	NADH-quinone oxidoreductase subunit A (EC 7.1.1.-) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)	nuoA b2288 JW2283	147	7.1.1.-			GO:0005886; GO:0008137; GO:0016020; GO:0022904; GO:0030964; GO:0045271; GO:0045272; GO:0048038	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01394, ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01394, ECO:0000269|PubMed:15919996}.	7690854; 9205837; 9278503; 16738553; 15919996	Complex I subunit 3 family		
b3081	P42593	2,4-dienoyl-CoA reductase [(2E)-enoyl-CoA-producing] (DCR) (EC 1.3.1.34) (2,4-dienoyl-coenzyme A reductase [NADPH])	fadH ygjL b3081 JW3052	672	1.3.1.34	P11349; P19318	PATHWAY: Lipid metabolism; fatty acid beta-oxidation. {ECO:0000305|PubMed:10933894, ECO:0000305|PubMed:6363415}.	GO:0008670; GO:0010181; GO:0033543; GO:0046872; GO:0051539; GO:0071949		9346310; 9278503; 16738553; 6363415; 10933894; 18171025; 12840019	NADH:flavin oxidoreductase/NADH oxidase family		
b0904	P0AC23	Formate channel FocA (Formate transporter FocA)	focA ycaE b0904 JW0887	285				GO:0005886; GO:0010447; GO:0015499; GO:0015724; GO:0019664; GO:0042802	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:20041954, ECO:0000269|PubMed:24659605, ECO:0000269|PubMed:33169422}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P0AC25}.	2651404; 8905232; 9278503; 16738553; 8022272; 15919996; 16849787; 20041954; 23335413; 24659605; 24887098; 28955877; 30247527; 33169422; 35084298; 35377837; 35390794	FNT transporter (TC 2.A.44) family		TOPO_DOM 1..30; /note="Cytoplasmic"; /evidence="ECO:0000250|UniProtKB:P0AC25"; TOPO_DOM 57..64; /note="Periplasmic"; /evidence="ECO:0000250|UniProtKB:P0AC25"; TOPO_DOM 86..112; /note="Cytoplasmic"; /evidence="ECO:0000250|UniProtKB:P0AC25"; TOPO_DOM 136..160; /note="Periplasmic"; /evidence="ECO:0000250|UniProtKB:P0AC25"; TOPO_DOM 182..187; /note="Cytoplasmic"; /evidence="ECO:0000250|UniProtKB:P0AC25"; TOPO_DOM 206..249; /note="Periplasmic"; /evidence="ECO:0000250|UniProtKB:P0AC25"; TOPO_DOM 277..285; /note="Cytoplasmic"; /evidence="ECO:0000250|UniProtKB:P0AC25"
b4132	P0AAE8	Cadaverine/lysine antiporter	cadB b4132 JW4093	444				GO:0005886; GO:0015295; GO:0015297; GO:0015839; GO:0016020; GO:0043872; GO:1903401; GO:1990451	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:16877381}; Multi-pass membrane protein {ECO:0000255}.	1370290; 1556085; 7610040; 9278503; 16738553; 14982633; 16491024; 15919996; 16877381; 21441513; 21796432; 29138484	Amino acid-polyamine-organocation (APC) superfamily, Basic amino acid/polyamine antiporter (APA) (TC 2.A.3.2) family		TOPO_DOM 1..6; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:16877381"; TOPO_DOM 28..34; /note="Periplasmic"; /evidence="ECO:0000305|PubMed:16877381"; TOPO_DOM 56..94; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:16877381"; TOPO_DOM 116..122; /note="Periplasmic"; /evidence="ECO:0000305|PubMed:16877381"; TOPO_DOM 144..148; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:16877381"; TOPO_DOM 170..192; /note="Periplasmic"; /evidence="ECO:0000305|PubMed:16877381"; TOPO_DOM 214..221; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:16877381"; TOPO_DOM 243..272; /note="Periplasmic"; /evidence="ECO:0000305|PubMed:16877381"; TOPO_DOM 294..322; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:16877381"; TOPO_DOM 344..353; /note="Periplasmic"; /evidence="ECO:0000305|PubMed:16877381"; TOPO_DOM 375..383; /note="Cytoplasmic"; /evidence="ECO:0000305|PubMed:16877381"; TOPO_DOM 426..444; /note="Cytoplasmic"; /evidence="ECO:0000269|PubMed:15919996, ECO:0000305|PubMed:16877381"
b2342	P76503	3-ketoacyl-CoA thiolase FadI (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI yfcY b2342 JW2339	436	2.3.1.16		PATHWAY: Lipid metabolism; fatty acid beta-oxidation. {ECO:0000305|PubMed:12270828}.	GO:0003857; GO:0003988; GO:0004300; GO:0005737; GO:0005829; GO:0006635; GO:0033542; GO:0036125	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	9205837; 9278503; 16738553; 12270828; 12535077	Thiolase-like superfamily, Thiolase family		
